Serial number,Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
1.0,Computer software ,286.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,18.0
2.0,Sales management,2718.0,4.0,29.0,20.0,209.0,6.0,0.0,0.0,0.0,183.0
3.0,market/marketing,2032.0,3.0,20.0,12.0,94.0,8.0,0.0,0.0,0.0,108.0
4.0,Sales ,9820.0,25.0,128.0,164.0,228.0,12.0,0.0,0.0,0.0,389.0
5.0,Computer hardware,24.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0
6.0,Internet development and application,89.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,20.0
7.0,IT-Management,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8.0,"IT-QM, technical support and more",11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0
9.0,Communications technology,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.0,Electronics/appliances/semiconductor/instrumentation,109.0,0.0,1.0,0.0,23.0,8.0,0.0,0.0,0.0,2.0
11.0,Finance/auditing/tax,258.0,2.0,13.0,4.0,82.0,2.0,0.0,0.0,0.0,47.0
12.0,Engineering/machinery/energy,309.0,0.0,0.0,1.0,40.0,21.0,0.0,0.0,0.0,17.0
13.0,HR,268.0,0.0,12.0,3.0,67.0,3.0,0.0,0.0,0.0,16.0
14.0,Senior management,59.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0
15.0,Logistics/warehousing,271.0,2.0,13.0,2.0,7.0,2.0,0.0,0.0,0.0,63.0
16.0,Art/graphics/Animation design,152.0,0.0,0.0,4.0,26.0,3.0,0.0,0.0,0.0,19.0
17.0,Science & Technology,16.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
18.0,Legal profession/law,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.0,Education,248.0,0.0,1.0,0.0,24.0,12.0,0.0,0.0,0.0,23.0
20.0,Hospital/medical/care,184.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,3.0
21.0,Counsel/consulting,466.0,0.0,2.0,8.0,30.0,1.0,0.0,0.0,0.0,17.0
22.0,Transportation service,69.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0
23.0,Translation,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
24.0,Construction/infrastructure/gardening,317.0,0.0,0.0,6.0,23.0,15.0,0.0,0.0,0.0,15.0
25.0,Office administration/logistics,705.0,3.0,8.0,14.0,143.0,10.0,0.0,0.0,0.0,118.0
26.0,Customer service and technical support,629.0,1.0,20.0,11.0,44.0,4.0,0.0,0.0,0.0,43.0
27.0,Securities/finance/investment,687.0,7.0,9.0,1.0,24.0,4.0,0.0,0.0,0.0,39.0
28.0,Insurance,360.0,0.0,7.0,2.0,25.0,4.0,0.0,0.0,0.0,6.0
29.0,Production/operation,96.0,1.0,0.0,4.0,32.0,5.0,0.0,0.0,0.0,3.0
30.0,QMS/safety/environmental protection,84.0,0.0,3.0,0.0,20.0,1.0,0.0,0.0,0.0,11.0
31.0,Technical work,552.0,16.0,16.0,10.0,8.0,5.0,0.0,0.0,0.0,41.0
32.0,Procurement,43.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0
33.0,Trade,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34.0,Biology/chemicals/pharmaceuticals/medical equipment,119.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,4.0
35.0,Advertising,10.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
36.0,PRs and news media,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
37.0,"Movies, TV and recreation",15.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
38.0,Literature/screenwriting/writing,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0
39.0,Real property,1170.0,42.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,22.0
40.0,Property management,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
41.0,Restaurants & recreation,741.0,20.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,30.0
42.0,Hotels/tourism,197.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,29.0
43.0,Beauty and personal care,327.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
44.0,General merchandise/chains/retail,422.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,4.0
45.0,Security/housekeeping/other,57.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
46.0,Graduates,262.0,0.0,1.0,2.0,20.0,1.0,0.0,0.0,0.0,6.0
47.0,Other,384.0,1.0,4.0,2.0,74.0,1.0,0.0,0.0,0.0,52.0
1.0,Computer software ,186.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,12.0
2.0,Sales management,3257.0,5.0,31.0,32.0,295.0,20.0,0.0,0.0,0.0,217.0
3.0,market/marketing,2612.0,1.0,16.0,13.0,148.0,13.0,0.0,0.0,0.0,146.0
4.0,Sales ,11264.0,16.0,124.0,200.0,303.0,14.0,0.0,0.0,0.0,437.0
5.0,Computer hardware,185.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
6.0,Internet development and application,204.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,21.0
7.0,IT-Management,36.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0
8.0,"IT-QM, technical support and more",34.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0
9.0,Communications technology,33.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0
10.0,Electronics/appliances/semiconductor/instrumentation,81.0,0.0,2.0,1.0,17.0,1.0,0.0,0.0,0.0,3.0
11.0,Finance/auditing/tax,302.0,2.0,11.0,7.0,77.0,4.0,0.0,0.0,0.0,39.0
12.0,Engineering/machinery/energy,607.0,1.0,3.0,7.0,44.0,13.0,0.0,0.0,0.0,17.0
13.0,HR,266.0,0.0,5.0,0.0,119.0,10.0,0.0,0.0,0.0,17.0
14.0,Senior management,54.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0
15.0,Logistics/warehousing,358.0,3.0,20.0,4.0,12.0,2.0,0.0,0.0,0.0,61.0
16.0,Art/graphics/Animation design,332.0,0.0,3.0,4.0,51.0,8.0,0.0,0.0,0.0,21.0
17.0,Science & Technology,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18.0,Education,341.0,0.0,2.0,2.0,41.0,10.0,0.0,0.0,0.0,8.0
19.0,Hospital/medical/care,184.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,4.0
20.0,Counsel/consulting,546.0,0.0,2.0,1.0,29.0,1.0,0.0,0.0,0.0,33.0
21.0,Transportation service,119.0,5.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,21.0
22.0,Translation,15.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0
23.0,Construction/infrastructure/gardening,153.0,0.0,1.0,1.0,29.0,4.0,0.0,0.0,0.0,6.0
24.0,Office administration/logistics,801.0,3.0,19.0,25.0,157.0,22.0,0.0,0.0,0.0,143.0
25.0,Customer service and technical support,1246.0,0.0,14.0,37.0,67.0,2.0,0.0,0.0,0.0,33.0
26.0,Securities/finance/investment,1052.0,0.0,17.0,0.0,41.0,1.0,0.0,0.0,0.0,49.0
27.0,Insurance,287.0,0.0,2.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0
28.0,Production/operation,74.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,11.0
29.0,QMS/safety/environmental protection,109.0,0.0,0.0,2.0,21.0,1.0,0.0,0.0,0.0,6.0
30.0,Technical work,880.0,4.0,25.0,5.0,7.0,3.0,0.0,0.0,0.0,50.0
31.0,Procurement,40.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
32.0,Trade,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33.0,Biology/chemicals/pharmaceuticals/medical equipment,100.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,7.0
34.0,Advertising,36.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
35.0,"Movies, TV and recreation",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
36.0,Literature/screenwriting/writing,175.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
37.0,Real property,806.0,26.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,31.0
38.0,Property management,66.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,10.0
39.0,Restaurants & recreation,467.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
40.0,Hotels/tourism,54.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0
41.0,Beauty and personal care,130.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
42.0,General merchandise/chains/retail,168.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0
43.0,Security/housekeeping/other,152.0,3.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,17.0
44.0,Graduates,1456.0,0.0,0.0,1.0,68.0,1.0,0.0,0.0,0.0,67.0
45.0,Other,682.0,0.0,13.0,0.0,77.0,2.0,0.0,0.0,0.0,77.0
1.0,Computer software ,211.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,17.0
2.0,Sales management,2205.0,2.0,25.0,24.0,175.0,7.0,0.0,0.0,0.0,156.0
3.0,market/marketing,2195.0,0.0,28.0,27.0,102.0,4.0,0.0,0.0,0.0,106.0
4.0,Sales ,8730.0,10.0,107.0,213.0,256.0,11.0,0.0,0.0,0.0,279.0
5.0,Computer hardware,90.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
6.0,Internet development and application,258.0,0.0,0.0,8.0,35.0,1.0,0.0,0.0,0.0,9.0
7.0,IT-Management,142.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
8.0,"IT-QM, technical support and more",95.0,0.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,6.0
9.0,Communications technology,79.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0
10.0,Electronics/appliances/semiconductor/instrumentation,156.0,0.0,7.0,0.0,12.0,8.0,3.0,0.0,0.0,4.0
11.0,Finance/auditing/tax,195.0,4.0,16.0,11.0,60.0,0.0,0.0,0.0,0.0,22.0
12.0,Engineering/machinery/energy,63.0,0.0,2.0,2.0,16.0,7.0,0.0,0.0,0.0,5.0
13.0,HR,210.0,0.0,4.0,0.0,60.0,7.0,0.0,0.0,0.0,17.0
14.0,Senior management,25.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0
15.0,Logistics/warehousing,301.0,10.0,7.0,8.0,11.0,0.0,0.0,0.0,0.0,48.0
16.0,Art/graphics/Animation design,129.0,0.0,1.0,1.0,29.0,3.0,0.0,0.0,0.0,8.0
17.0,Science & Technology,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18.0,Legal profession/law,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19.0,Education,106.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,6.0
20.0,Hospital/medical/care,109.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0
21.0,Counsel/consulting,285.0,0.0,4.0,3.0,34.0,0.0,0.0,0.0,0.0,13.0
22.0,Transportation service,96.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0
23.0,Translation,14.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
24.0,Construction/infrastructure/gardening,375.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,24.0
25.0,Office administration/logistics,851.0,1.0,6.0,17.0,127.0,5.0,0.0,0.0,0.0,90.0
26.0,Customer service and technical support,826.0,0.0,9.0,26.0,28.0,0.0,0.0,0.0,0.0,37.0
27.0,Securities/finance/investment,752.0,0.0,14.0,2.0,22.0,0.0,0.0,0.0,0.0,34.0
28.0,Insurance,1125.0,8.0,0.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0
29.0,Production/operation,249.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0
30.0,QMS/safety/environmental protection,67.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,9.0
31.0,Technical work,621.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,59.0
32.0,Fashion/textile/furs,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,Procurement,53.0,0.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0
34.0,Trade,33.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0
35.0,Biology/chemicals/pharmaceuticals/medical equipment,156.0,0.0,1.0,0.0,6.0,9.0,0.0,0.0,0.0,27.0
36.0,Advertising,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
37.0,"Movies, TV and recreation",13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
38.0,Literature/screenwriting/writing,14.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0
39.0,Real property,1218.0,20.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,51.0
40.0,Property management,255.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,12.0
41.0,Restaurants & recreation,1125.0,4.0,6.0,10.0,10.0,0.0,0.0,0.0,0.0,121.0
42.0,Hotels/tourism,303.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0
43.0,Beauty and personal care,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
44.0,General merchandise/chains/retail,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
45.0,Security/housekeeping/other,51.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
46.0,Graduates,1317.0,0.0,2.0,4.0,56.0,2.0,0.0,0.0,0.0,57.0
47.0,Other,311.0,0.0,10.0,2.0,49.0,0.0,0.0,0.0,0.0,43.0
1.0,Computer software ,235.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,9.0
2.0,Sales management,1528.0,0.0,16.0,7.0,126.0,4.0,0.0,0.0,0.0,146.0
3.0,market/marketing,757.0,1.0,12.0,10.0,54.0,4.0,0.0,0.0,0.0,66.0
4.0,Sales ,5842.0,2.0,71.0,161.0,159.0,7.0,0.0,0.0,0.0,187.0
5.0,Computer hardware,18.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
6.0,Internet development and application,106.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,29.0
7.0,IT-Management,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8.0,"IT-QM, technical support and more",81.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0
9.0,Communications technology,26.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
10.0,Electronics/appliances/semiconductor/instrumentation,42.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
11.0,Finance/auditing/tax,168.0,0.0,6.0,3.0,47.0,9.0,0.0,0.0,0.0,27.0
12.0,Engineering/machinery/energy,198.0,0.0,0.0,0.0,39.0,13.0,0.0,0.0,0.0,10.0
13.0,HR,105.0,0.0,3.0,0.0,26.0,7.0,0.0,0.0,0.0,19.0
14.0,Senior management,23.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0
15.0,Logistics/warehousing,256.0,4.0,11.0,6.0,16.0,0.0,0.0,0.0,0.0,43.0
16.0,Art/graphics/Animation design,82.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,25.0
17.0,Science & Technology,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,Legal profession/law,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
19.0,Education,89.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,4.0
20.0,Hospital/medical/care,71.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0
21.0,Counsel/consulting,645.0,0.0,12.0,0.0,38.0,4.0,0.0,0.0,0.0,17.0
22.0,Transportation service,48.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
23.0,Translation,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
24.0,Construction/infrastructure/gardening,164.0,0.0,1.0,0.0,23.0,3.0,0.0,0.0,0.0,9.0
25.0,Banking,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26.0,Office administration/logistics,454.0,5.0,2.0,11.0,80.0,3.0,0.0,0.0,0.0,76.0
27.0,Customer service and technical support,362.0,0.0,6.0,0.0,20.0,1.0,0.0,0.0,0.0,27.0
28.0,Securities/finance/investment,424.0,0.0,6.0,0.0,11.0,1.0,0.0,0.0,0.0,13.0
29.0,Insurance,140.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
30.0,Production/operation,219.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0
31.0,QMS/safety/environmental protection,48.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,5.0
32.0,Technical work,591.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,55.0
33.0,Fashion/textile/furs,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
34.0,Procurement,11.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0
35.0,Trade,9.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0
36.0,Biology/chemicals/pharmaceuticals/medical equipment,42.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0
37.0,Advertising,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
38.0,"Movies, TV and recreation",5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
39.0,Literature/screenwriting/writing,25.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0
40.0,Real property,695.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,30.0
41.0,Property management,74.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0
42.0,Restaurants & recreation,781.0,6.0,12.0,7.0,6.0,0.0,0.0,0.0,0.0,79.0
43.0,Hotels/tourism,79.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
44.0,Beauty and personal care,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
45.0,General merchandise/chains/retail,182.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0
46.0,Security/housekeeping/other,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
47.0,Graduates,512.0,0.0,2.0,0.0,18.0,4.0,0.0,0.0,0.0,30.0
48.0,Other,439.0,0.0,9.0,3.0,36.0,0.0,0.0,0.0,0.0,48.0
